Topic,F1,F2,F3,F4,F5,F6,F7,F8,F9,F12,F14,F15,Class
Topic155445,914.73,907,914.73,64606.1,0.32,0.21,0.02,902310,934736.97,0.69,0.09,2153.54,1
Topic155517,738.07,945,738.07,125569.93,0.41,0.22,0.77,33814943,1328359.97,0.45,0.08,4185.66,1
Topic155518,501.1,559,501.1,204460.68,0.32,0.13,0.0,423063,276085.7,0.57,0.09,6815.36,1
Topic155519,743.2,167,743.2,128829.03,0.08,0.04,0.0,97541,564316.8,0.62,0.09,4294.3,1
Topic155522,983.93,371,983.93,164963.72,0.17,0.09,0.01,1784512,839006.17,0.67,0.09,5498.79,1
Topic155524,533.8,609,533.8,171352.4,0.33,0.14,0.02,1488073,255622.47,0.54,0.09,5711.75,1
Topic155525,729.6,909,729.6,176114.43,0.29,0.21,0.0,67491,480316.37,0.65,0.09,5870.48,1
Topic155527,922.5,870,922.5,66631.5,0.4,0.2,0.03,7368909,735107.97,0.63,0.09,2221.05,1
Topic155532,592.23,271,592.23,5757.92,0.22,0.06,0.0,281262,312062.7,0.59,0.09,191.93,1
Topic155533,702.23,154,702.23,19213.72,0.07,0.04,0.0,513466,690493.23,0.64,0.09,640.46,1
Topic155538,809.7,881,809.7,459928.93,0.36,0.21,0.01,376301,977650.57,0.63,0.09,15330.96,1
Topic155557,989.4,870,989.4,101623.12,0.4,0.2,0.03,7368909,699059.27,0.61,0.09,3387.44,1
Topic155559,964.6,371,964.6,124816.97,0.17,0.09,0.01,1784512,1020330.8,0.64,0.09,4160.57,1
Topic155562,678.43,945,678.43,90988.2,0.41,0.22,0.77,33814943,1763138.5,0.55,0.08,3032.94,1
Topic155564,583.9,881,583.9,357237.35,0.36,0.21,0.01,376301,269727.23,0.62,0.09,11907.91,1
Topic155343,894.93,840,894.93,263995.23,0.36,0.2,0.0,98428,680143.37,0.69,0.09,8799.84,0
Topic155347,813.2,318,813.2,442580.7,0.1,0.07,0.0,74645,551931.47,0.61,0.09,14752.69,0
Topic155360,457.83,1435,457.83,521427.97,0.45,0.34,0.01,432809,649883.93,0.66,0.09,17380.93,0
Topic155363,253.13,58,253.13,376866.35,0.01,0.01,0.0,687,133760.03,0.45,0.09,12562.21,0
Topic155365,305.77,459,305.77,59454.03,0.28,0.11,0.0,95140,70591.13,0.52,0.09,1981.8,0
Topic155371,553.2,50,553.2,181579.83,0.01,0.01,0.0,7200,598188.23,0.58,0.08,6052.66,0
Topic155389,589.77,61,589.77,526371.47,0.03,0.01,0.0,10151,297266.77,0.66,0.09,17545.72,0
Topic155397,707.93,434,707.93,247447.0,0.17,0.1,0.0,89052,880246.0,0.66,0.09,8248.23,0
Topic155403,520.6,351,520.6,430811.05,0.18,0.08,0.0,49082,531214.47,0.55,0.09,14360.37,0
Topic155404,609.63,514,609.63,70234.15,0.23,0.12,0.01,388702,405988.17,0.6,0.09,2341.14,0
Topic155437,645.33,1394,645.33,3164.18,0.59,0.33,0.01,681751,517064.53,0.64,0.09,105.47,0
Topic155448,556.37,296,556.37,48962.25,0.1,0.07,0.0,30706,289514.43,0.62,0.09,1632.08,0
Topic155498,648.53,712,648.53,262279.72,0.39,0.17,0.06,2530807,709757.6,0.6,0.09,8742.66,0
Topic155514,457.57,165,457.57,76458.78,0.11,0.04,0.0,19113,539334.2,0.54,0.08,2548.63,0
Topic155516,727.33,425,727.33,191697.95,0.2,0.1,0.0,35430,517682.87,0.67,0.09,6389.93,0
